,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
997,1989.06.03,Unprovoked,south africa,Eastern Cape Province,Gonubie,White Shark,Unknown,,Unknown,M,south africa,1989.0,28.0
998,1989.03.09,Unprovoked,australia,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",White Shark,Unknown,,Unknown,M,australia,1989.0,27.0
999,1989.02.02,Unprovoked,italy,Tyrrhenian Sea,"Golfo di Baratti, near Piombino (Tuscany)",White Shark,Unknown,,Unknown,M,italy,1989.0,47.0
1000,1989.01.26.b,Invalid,usa,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Unspecified,Unknown,,Unknown,M,usa,1989.0,24.0
1001,1989.01.26.a,Unprovoked,usa,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",White Shark,Unknown,,Unknown,F,usa,1989.0,24.0
1002,1989.01.03,Unprovoked,australia,New South Wales,"Half Tide Beach, Evans Head",Tiger Shark,Unknown,,Unknown,M,australia,1989.0,17.0
1003,1988.10.23,Unprovoked,usa,Oregon,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",White Shark,Unknown,,Unknown,M,usa,1988.0,21.0
1004,1988.10.11,Unprovoked,usa,Florida,"Fort Pierce, St. Lucie County ",Unspecified,Unknown,,Unknown,M,usa,1988.0,30.0
1005,1988.10.10,Unprovoked,usa,Florida,"Playalinda, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1988.0,23.0
1006,1988.09.28,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1988.0,21.0
1007,1988.09.13.a,Unprovoked,usa,Florida,"Shell Island Panama City Beach, Bay County",Bull Shark,Unknown,,Unknown,M,usa,1988.0,38.0
1008,1988.08.11,Unprovoked,usa,California,"Klamath River, Del Norte County",White Shark,Unknown,,Unknown,M,usa,1988.0,27.0
1009,1988.06.19,Unprovoked,south africa,Western Cape Province,Sculphoek,White Shark,Unknown,,Unknown,M,south africa,1988.0,36.0
1010,1988.06.09,Unprovoked,usa,South Carolina,"Sea Pines Beach Club, Hilton Head, Beaufort County",Unspecified,Unknown,,Unknown,M,usa,1988.0,37.0
1011,1988.06.01,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1988.0,25.0
1012,1988.03.16,Unprovoked,south africa,KwaZulu-Natal,Isipingo,Unspecified,Unknown,,Unknown,M,south africa,1988.0,17.0
1013,1988.02.14,Unprovoked,south africa,Eastern Cape Province,Nahoon,Grey Shark,Unknown,,Unknown,M,south africa,1988.0,20.0
1014,1988.02.13,Unprovoked,south africa,KwaZulu-Natal,Mtunzini,Unspecified,Unknown,,Unknown,F,south africa,1988.0,15.0
1015,1988.01.27,Invalid,south africa,KwaZulu-Natal,Durban,Unspecified,Unknown,,Unknown,M,south africa,1988.0,22.0
1016,1988.01.06,Provoked,south africa,Western Cape Province,Struisbaai,Unspecified,Unknown,,Unknown,M,south africa,1988.0,33.0
1017,1987.12.17,Unprovoked,usa,Florida,"Palm Beach, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1987.0,16.0
1018,1987.10.26,Unprovoked,usa,California,"Davenport Light, San Mateo County",Unspecified,Unknown,,Unknown,M,usa,1987.0,20.0
1019,1987.10.25,Invalid,south africa,KwaZulu-Natal,Richards Bay,Unspecified,Unknown,,Unknown,M,south africa,1987.0,14.0
1020,1987.10.11,Unprovoked,south africa,Western Cape Province,"Seal Island, False Bay",White Shark,Unknown,,Unknown,M,south africa,1987.0,21.0
1021,1987.09.13,Unprovoked,south africa,Western Cape Province,Still Bay,White Shark,Unknown,,Unknown,M,south africa,1987.0,24.0
1022,1987.08.20,Unprovoked,usa,Florida,"Satellite  Beach, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1987.0,12.0
1023,1987.08.15,Unprovoked,usa,California,"Tunitas Beach, San Mateo County",White Shark,Unknown,,Unknown,M,usa,1987.0,40.0
1024,1987.07.21,Unprovoked,usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1987.0,27.0
1025,1987.07.12.b,Unprovoked,usa,Texas,"Mustang Island, near Port Aransas",Unspecified,Unknown,,Unknown,F,usa,1987.0,32.0
1026,1987.07.12.a,Unprovoked,usa,Texas,"Mustang Island, near Port Aransas",Unspecified,Unknown,,Unknown,F,usa,1987.0,16.0
1027,1987.04.01,Unprovoked,vanuatu,Malampa Province,Vao Island,Unspecified,Unknown,,Unknown,M,vanuatu,1987.0,8.0
1028,1987.01.28,Unprovoked,south africa,Eastern Cape Province,Eerste River,White Shark,Unknown,,Unknown,M,south africa,1987.0,30.0
1029,1986.12.22,Unprovoked,south africa,Western Cape Province,SAOU Strand,White Shark,Unknown,,Unknown,M,south africa,1986.0,21.0
1030,1986.12.11,Unprovoked,usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1986.0,40.0
1031,1986.12.06.a,Unprovoked,usa,California,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",White Shark,Unknown,,Unknown,M,usa,1986.0,27.0
1032,1986.10.03,Unprovoked,usa,Florida,"Sanibel Island, Lee County",Lemon Shark,Unknown,,Unknown,F,usa,1986.0,6.0
1033,1986.10.05,Unprovoked,south africa,KwaZulu-Natal,St. Michaels,Unspecified,Unknown,,Unknown,M,south africa,1986.0,32.0
1034,1986.08.10,Invalid,south africa,Western Cape Province,Reef on seaward side of Geyser Island,Unspecified,Unknown,,Unknown,M,south africa,1986.0,35.0
1035,1986.07.00.a,Unprovoked,south africa,KwaZulu-Natal,LaMercy,Unspecified,Unknown,,Unknown,M,south africa,1986.0,26.0
1036,1986.03.15,Unprovoked,south africa,KwaZulu-Natal,"North Beach, Durban",Unspecified,Unknown,,Unknown,M,south africa,1986.0,26.0
1037,1986.02.18,Unprovoked,south africa,Eastern Cape Province,East London,White Shark,Unknown,,Unknown,M,south africa,1986.0,21.0
1038,1986.02.07,Unprovoked,south africa,Eastern Cape Province,"King's Beach, Port Elizabeth",Unspecified,Unknown,,Unknown,M,south africa,1986.0,46.0
1039,1986.02.06,Unprovoked,south africa,Western Cape Province,Arniston,Unspecified,Unknown,,Unknown,M,south africa,1986.0,29.0
1040,1986.02.01,Unprovoked,australia,Victoria,Jan Juc Beach,Unspecified,Unknown,,Unknown,M,australia,1986.0,29.0
1041,1986.01.12,Unprovoked,usa,Florida,"Singer Island, Riviera Beach, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1986.0,22.0
1042,1986.00.00,Unprovoked,usa,California,"Linda Mar Beach, Pedro Point, San Mateo County",Unspecified,Unknown,,Unknown,M,usa,1986.0,16.0
1043,1985.10.24,Unprovoked,south africa,Eastern Cape Province,East London,White Shark,Unknown,,Unknown,M,south africa,1985.0,22.0
1044,1985.10.22,Unprovoked,usa,California,"Point Conception, Santa Barbara County",Unspecified,Unknown,,Unknown,M,usa,1985.0,46.0
1045,1985.09.05,Invalid,usa,Florida,"Fort Pierce Inlet, St Lucie County",Unspecified,Unknown,,Unknown,M,usa,1985.0,17.0
1046,1985.08.20,Invalid,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1985.0,11.0
1047,1985.08.17,Invalid,usa,Florida,"Bayport, Hernando County",Unspecified,Unknown,,Unknown,M,usa,1985.0,25.0
1048,1985.07.25.b,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Unspecified,Unknown,,Unknown,F,usa,1985.0,13.0
1049,1985.07.00,Unprovoked,italy,Sicily,Punta Secca,White Shark,Unknown,,Unknown,M,italy,1985.0,13.0
1050,1985.03.03,Unprovoked,australia,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",White Shark,Unknown,,Unknown,F,australia,1985.0,33.0
1051,1985.02.18,Unprovoked,usa,California,"San Miguel Island, Santa Barbara County",White Shark,Unknown,,Unknown,M,usa,1985.0,29.0
1052,1985.01.27,Unprovoked,south africa,Western Cape Province,Struisbaai,Unspecified,Unknown,,Unknown,M,south africa,1985.0,15.0
1053,1985.01.17,Unprovoked,south africa,KwaZulu-Natal,Umbogintwini,White Shark,Unknown,,Unknown,M,south africa,1985.0,18.0
1054,1985.01.04,Unprovoked,south africa,Western Cape Province,"Buffels Bay, False Bay",White Shark,Unknown,,Unknown,M,south africa,1985.0,34.0
1055,1985.01.00.a,Provoked,south africa,KwaZulu-Natal,Salt Rock,Unspecified,Unknown,,Unknown,M,south africa,1985.0,20.0
1056,1984.11.30,Unprovoked,australia,Queensland,1 km off Black's Beach,Tiger Shark,Unknown,,Unknown,M,australia,1984.0,16.0
1057,1984.10.21.b,Invalid,usa,Florida,"Wabasso Beach, Indian River County",Unspecified,Unknown,,Unknown,M,usa,1984.0,22.0
1058,1984.10.21,Unprovoked,usa,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",Unspecified,Unknown,,Unknown,F,usa,1984.0,23.0
1059,1984.10.17,Invalid,usa,Florida,"Boynton Beach, Palm Beach County",Unspecified,Unknown,,Unknown,F,usa,1984.0,25.0
1060,1984.10.14.a,Unprovoked,usa,Florida,"Bob Graham Beach, Martin County",Unspecified,Unknown,,Unknown,M,usa,1984.0,15.0
1061,1984.09.30.b,Unprovoked,usa,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County",White Shark,Unknown,,Unknown,M,usa,1984.0,25.0
1062,1984.09.22.a,Unprovoked,usa,Florida,"Indiatlantic, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1984.0,16.0
1063,1984.09.15,Unprovoked,usa,California,"Pigeon Point, San Mateo County",White Shark,Unknown,,Unknown,M,usa,1984.0,28.0
1064,1984.07.24.a,Unprovoked,usa,Texas,South Padre Island,Unspecified,Unknown,,Unknown,F,usa,1984.0,18.0
1065,1984.07.22,Invalid,south africa,Western Cape Province,Cape Point,Unspecified,Unknown,,Unknown,M,south africa,1984.0,21.0
1066,1984.06.15,Unprovoked,south africa,Western Cape Province,"Muizenberg, False Bay",White Shark,Unknown,,Unknown,M,south africa,1984.0,27.0
1067,1984.06.03.b,Unprovoked,usa,Hawaii,"Kane'ohe Bay, O'ahu",Unspecified,Unknown,,Unknown,F,usa,1984.0,13.0
1068,1984.02.17,Provoked,south africa,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Unspecified,Unknown,,Unknown,M,south africa,1984.0,33.0
1069,1984.01.05,Unprovoked,south africa,Eastern Cape Province,Port Alfred,Unspecified,Unknown,,Unknown,M,south africa,1984.0,14.0
1070,1983.12.21,Unprovoked,south africa,Eastern Cape Province,Nahoon,Unspecified,Unknown,,Unknown,M,south africa,1983.0,47.0
1071,1983.08.20.a,Unprovoked,south africa,Western Cape Province,"Seal Island, False Bay",White Shark,Unknown,,Unknown,M,south africa,1983.0,29.0
1072,1983.08.15,Unprovoked,usa,Virginia,"Virginia Beach, Princess Anne County",Unspecified,Unknown,,Unknown,F,usa,1983.0,14.0
1073,1983.08.13.a,Unprovoked,usa,Florida,"6 miles south of Boca Chica Key, Monroe County ",Bull Shark,Unknown,,Unknown,F,usa,1983.0,22.0
1074,1983.07.26,Sea Disaster,australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Tiger Shark,Unknown,,Unknown,F,australia,1983.0,21.0
1075,1983.07.25.b,Sea Disaster,australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Tiger Shark,Unknown,,Unknown,M,australia,1983.0,24.0
1076,1983.07.25.a,Sea Disaster,australia,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Tiger Shark,Unknown,,Unknown,M,australia,1983.0,28.0
1077,1983.07.12.b,Unprovoked,usa,Florida,"Caloosahatchee River, Lee County",Unspecified,Unknown,,Unknown,F,usa,1983.0,39.0
1078,1983.05.31,Unprovoked,usa,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1983.0,21.0
1079,1983.04.12,Unprovoked,south africa,Eastern Cape Province,Bonza Bay,Unspecified,Unknown,,Unknown,M,south africa,1983.0,27.0
1080,1983.03.30.a,Unprovoked,south africa,KwaZulu-Natal,Scottburgh,Unspecified,Unknown,,Unknown,M,south africa,1983.0,17.0
1081,1983.02.20,Unprovoked,south africa,KwaZulu-Natal,Mtunzini,Unspecified,Unknown,,Unknown,M,south africa,1983.0,16.0
1082,1983.01.08,Unprovoked,south africa,Western Cape Province,Holbaai,White Shark,Unknown,,Unknown,M,south africa,1983.0,32.0
1083,1982.10.13,Unprovoked,usa,Florida,North Dade- Interama area of Biscayne Bay,Unspecified,Unknown,,Unknown,M,usa,1982.0,26.0
1084,1982.09.30.a,Unprovoked,south africa,Eastern Cape Province,"Nahoon, East London",White Shark,Unknown,,Unknown,M,south africa,1982.0,16.0
1085,1982.09.27,Unprovoked,usa,Florida,"Patrick Air Force Base, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1982.0,20.0
1086,1982.09.25,Unprovoked,usa,California,"Monastery Beach, Carmel Bay, Monterey County",White Shark,Unknown,,Unknown,M,usa,1982.0,36.0
1087,1982.09.19,Unprovoked,usa,California,"Bear Harbor, Mendocino County",White Shark,Unknown,,Unknown,M,usa,1982.0,28.0
1088,1982.08.29.b,Invalid,usa,California,"Morro Rock, Morro Bay, San Obispo County",Unspecified,Unknown,,Unknown,M,usa,1982.0,17.0
1089,1982.07.31,Invalid,south africa,KwaZulu-Natal,Amanzimtoti,Unspecified,Unknown,,Unknown,M,south africa,1982.0,20.0
1090,1982.07.24.b,Unprovoked,south africa,Eastern Cape Province,"Nahoon, East London",White Shark,Unknown,,Unknown,M,south africa,1982.0,38.0
1091,1982.07.24.a,Unprovoked,usa,California,"Point Buchon, San Luis Obispo County",White Shark,Unknown,,Unknown,M,usa,1982.0,26.0
1092,1982.07.19,Unprovoked,usa,Florida,"Stuart Beach, Martin County ",Unspecified,Unknown,,Unknown,M,usa,1982.0,17.0
1093,1982.06.29,Unprovoked,south africa,Eastern Cape Province,Ntlonyana Bay,White Shark,Unknown,,Unknown,M,south africa,1982.0,27.0
1094,1982.06.26.b,Unprovoked,usa,South Carolina,"Isle of Palms, Charleston County",Unspecified,Unknown,,Unknown,M,usa,1982.0,20.0
1095,1982.01.29,Unprovoked,south africa,Eastern Cape Province,Mpekeweni,Unspecified,Unknown,,Unknown,M,south africa,1982.0,20.0
1096,1981.12.19,Unprovoked,usa,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",White Shark,Unknown,,Unknown,M,usa,1981.0,24.0
1097,1981.10.19.a,Unprovoked,usa,Florida,"Jupiter Island, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1981.0,19.0
1098,1981.09.15,Unprovoked,usa,Florida,"Tampa Bay, Manatee County",Tiger Shark,Unknown,,Unknown,M,usa,1981.0,26.0
1099,1981.08.07,Unprovoked,bahamas,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Unspecified,Unknown,,Unknown,M,bahamas,1981.0,53.0
1100,1981.07.18,Unprovoked,south africa,Eastern Cape Province,Nahoon,Unspecified,Unknown,,Unknown,M,south africa,1981.0,32.0
1101,1981.05.23,Unprovoked,south korea,Chungnam,Wae-yeon Island,White Shark,Unknown,,Unknown,F,south korea,1981.0,27.0
1102,1981.05.20,Unprovoked,south africa,Eastern Cape Province,Nahoon,Unspecified,Unknown,,Unknown,M,south africa,1981.0,27.0
1103,1981.05.10,Unprovoked,south africa,Eastern Cape Province,Kings Beach,Unspecified,Unknown,,Unknown,M,south africa,1981.0,19.0
1104,1981.05.05,Unprovoked,south africa,Eastern Cape Province,Ntlonyane Bay,Tiger Shark,Unknown,,Unknown,M,south africa,1981.0,24.0
1105,1981.03.25,Unprovoked,usa,Florida,"Singer Island, Riviera Beach, Palm Beach County",Bull Shark,Unknown,,Unknown,M,usa,1981.0,19.0
1106,1981.03.24,Unprovoked,usa,Florida,"Singer Island, Riviera Beach, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1981.0,24.0
1107,1981.02.19,Unprovoked,south africa,KwaZulu-Natal,Umtentweni,Unspecified,Unknown,,Unknown,M,south africa,1981.0,30.0
1108,1981.02.02,Unprovoked,usa,Florida,"Juno Beach, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1981.0,15.0
1109,1981.00.00.b,Unprovoked,australia,New South Wales,Byron Bay,Tiger Shark,Unknown,,Unknown,M,australia,1981.0,27.0
1110,1980.12.30,Unprovoked,south africa,Eastern Cape Province,Nahoon,Unspecified,Unknown,,Unknown,M,south africa,1980.0,25.0
1111,1980.11.24,Unprovoked,reunion,Grand'Anse,Petite-Ile,White Shark,Unknown,,Unknown,M,reunion,1980.0,22.0
1112,1980.10.27,Unprovoked,usa,Oregon,Off Umpqua River,White Shark,Unknown,,Unknown,M,usa,1980.0,29.0
1113,1980.10.17,Unprovoked,usa,California,"Moonstone Beach, Humboldt County",White Shark,Unknown,,Unknown,M,usa,1980.0,19.0
1114,1980.07.23,Unprovoked,usa,Delaware,Dewey Beach,Unspecified,Unknown,,Unknown,F,usa,1980.0,22.0
1115,1980.05.15,Unprovoked,south africa,Eastern Cape Province,Fullers Bay,Unspecified,Unknown,,Unknown,M,south africa,1980.0,22.0
1116,1980.04.00,Unprovoked,mexico,Sinaloa,Mazatlán,Tiger Shark,Unknown,,Unknown,F,mexico,1980.0,13.0
1117,1980.01.31,Unprovoked,south africa,KwaZulu-Natal,Ballito,White Shark,Unknown,,Unknown,M,south africa,1980.0,24.0
1118,1980.01.15,Provoked,south africa,KwaZulu-Natal,Ansteys,Unspecified,Unknown,,Unknown,M,south africa,1980.0,29.0
1119,1980.01.10,Unprovoked,south africa,Eastern Cape Province,Kings Beach,Unspecified,Unknown,,Unknown,M,south africa,1980.0,25.0
1120,1980.00.00.b,Invalid,south africa,Eastern Cape Province,Bonza Bay,Unspecified,Unknown,,Unknown,M,south africa,1980.0,20.0
1121,1979.11.27,Unprovoked,usa,Oregon,"Haystack Rock, Cannon Beach, Clatsop County",White Shark,Unknown,,Unknown,M,usa,1979.0,20.0
1122,1979.05.05,Provoked,south africa,Western Cape Province,"Hangklip, False Bay",White Shark,Unknown,,Unknown,M,south africa,1979.0,25.0
1123,1979.03.24,Unprovoked,usa,Florida,"Singer Island, Riviera Beach, Palm Beach County",Unspecified,Unknown,,Unknown,M,usa,1979.0,27.0
1124,1979.02.21,Unprovoked,south africa,Eastern Cape Province,Port Alfred,Unspecified,Unknown,,Unknown,M,south africa,1979.0,19.0
1125,1978.12.12,Unprovoked,south africa,KwaZulu-Natal,Sodwana,White Shark,Unknown,,Unknown,M,south africa,1978.0,23.0
1126,1978.09.27,Unprovoked,south africa,Western Cape Province,"Miller's Point, False Bay",White Shark,Unknown,,Unknown,M,south africa,1978.0,27.0
1127,1978.01.17,Unprovoked,south africa,KwaZulu-Natal,Glenashley,Unspecified,Unknown,,Unknown,M,south africa,1978.0,17.0
1128,1977.12.19.a,Unprovoked,south africa,Eastern Cape Province,Qolera River,Tiger Shark,Unknown,,Unknown,M,south africa,1977.0,18.0
1129,1977.10.30,Unprovoked,south africa,Western Cape Province,"Bluegums Rock, Partridge Point",White Shark,Unknown,,Unknown,M,south africa,1977.0,25.0
1130,1977.08.31,Unprovoked,australia,South Australia,"Cactus Beach, near Ceduna",White Shark,Unknown,,Unknown,M,australia,1977.0,17.0
1131,1977.08.14,Unprovoked,usa,California,"McClure Beach, near Tomales Point, Marin County",White Shark,Unknown,,Unknown,M,usa,1977.0,20.0
1132,1977.06.26,Provoked,usa,Florida,"12 miles northeast of Mayport,  Duval County",Bull Shark,Unknown,,Unknown,M,usa,1977.0,27.0
1133,1976.12.18,Unprovoked,usa,California,"San Miguel Island, Santa Barbara County",White Shark,Unknown,,Unknown,M,usa,1976.0,29.0
1134,1976.11.27,Unprovoked,south africa,Western Cape Province,Clifton,White Shark,Unknown,,Unknown,M,south africa,1976.0,19.0
1135,1976.11.25,Unprovoked,usa,Florida,"Delray Beach, Palm Beach County",Lemon Shark,Unknown,,Unknown,M,usa,1976.0,19.0
1136,1976.10.18,Unprovoked,usa,California,"Moonstone Beach, Humboldt County",White Shark,Unknown,,Unknown,M,usa,1976.0,25.0
1137,1976.10.06,Unprovoked,south africa,Eastern Cape Province,Cape St. Francis,White Shark,Unknown,,Unknown,M,south africa,1976.0,20.0
1138,1976.09.06,Unprovoked,usa,Florida,"Sebastian, Indian River County",Tiger Shark,Unknown,,Unknown,M,usa,1976.0,15.0
1139,1976.08.24,Unprovoked,usa,Oregon,Winchester Bay,White Shark,Unknown,,Unknown,M,usa,1976.0,19.0
1140,1976.06.23,Unprovoked,usa,Florida,"St. Andrews State Park, Bay County",Unspecified,Unknown,,Unknown,M,usa,1976.0,17.0
1141,1975.12.06,Unprovoked,usa,California,Farallon Islands,White Shark,Unknown,,Unknown,M,usa,1975.0,27.0
1142,1975.11.19.a,Unprovoked,south africa,KwaZulu-Natal,"South Beach, Durban",Unspecified,Unknown,,Unknown,M,south africa,1975.0,33.0
1143,1975.08.17,Unprovoked,south africa,Eastern Cape Province,Cape St. Francis,White Shark,Unknown,,Unknown,M,south africa,1975.0,19.0
1144,1975.08.12,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",Unspecified,Unknown,,Unknown,M,usa,1975.0,20.0
1145,1975.08.09,Unprovoked,usa,California,"Usal Creek, Bear Harbor, Mendocino County",White Shark,Unknown,,Unknown,M,usa,1975.0,44.0
1146,1975.07.30.a,Unprovoked,australia,Tasmania,"Fluted Cape, Bruny Island",White Shark,Unknown,,Unknown,M,australia,1975.0,37.0
1147,1975.07.23,Unprovoked,usa,California,"Perch Rock, Point Conception, Santa Barbara County",White Shark,Unknown,,Unknown,M,usa,1975.0,23.0
1148,1975.07.19,Unprovoked,usa,California,"Point Conception, Santa Barbara County",White Shark,Unknown,,Unknown,M,usa,1975.0,34.0
1149,1975.07.15,Unprovoked,usa,Florida,"New Smyrna Beach, Volusia County",Unspecified,Unknown,,Unknown,F,usa,1975.0,14.0
1150,1975.06.23.b,Unprovoked,usa,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",Unspecified,Unknown,,Unknown,M,usa,1975.0,18.0
1151,1975.02.23,Unprovoked,south africa,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Unspecified,Unknown,,Unknown,M,south africa,1975.0,16.0
1152,1975.02.10,Unprovoked,australia,South Australia,(Point Sinclair) Penong,White Shark,Unknown,,Unknown,M,australia,1975.0,12.0
1153,1974.09.28,Unprovoked,usa,California,"North of Point Sur, Monterey County",White Shark,Unknown,,Unknown,M,usa,1974.0,17.0
1154,1974.09.14,Unprovoked,usa,California,"North Farallon Island, Farallon Islands",White Shark,Unknown,,Unknown,M,usa,1974.0,29.0
1155,1974.09.07,Unprovoked,israel,Red Sea,"North Beach, Eilat",Unspecified,Unknown,,Unknown,F,israel,1974.0,20.0
1156,1974.09.02.b,Unprovoked,usa,California,"Franklin Point, San Mateo County",White Shark,Unknown,,Unknown,M,usa,1974.0,41.0
1157,1974.09.02.a,Unprovoked,usa,California,"Franklin Point, San Mateo County",White Shark,Unknown,,Unknown,M,usa,1974.0,48.0
1158,1974.09.00,Unprovoked,usa,Oregon,Myers Creek,White Shark,Unknown,,Unknown,M,usa,1974.0,24.0
1159,1974.05.26,Unprovoked,usa,California,"Tomales Point, Marin County",White Shark,Unknown,,Unknown,M,usa,1974.0,45.0
1160,1974.04.20,Unprovoked,south africa,Western Cape Province,Arniston,Unspecified,Unknown,,Unknown,M,south africa,1974.0,22.0
1161,1974.04.04,Unprovoked,south africa,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Unspecified,Unknown,,Unknown,M,south africa,1974.0,17.0
1162,1974.03.21,Unprovoked,south africa,KwaZulu-Natal,Amanzimtoti,Unspecified,Unknown,,Unknown,M,south africa,1974.0,21.0
1163,1974.01.07.c,Unprovoked,south africa,KwaZulu-Natal,Amanzimtoti,Unspecified,Unknown,,Unknown,M,south africa,1974.0,33.0
1164,1973.09.14,Unprovoked,bahamas,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island",Bull Shark,Unknown,,Unknown,M,bahamas,1973.0,11.0
1165,1973.09.09,Unprovoked,mexico,Baja California,Guadalupe Island,White Shark,Unknown,,Unknown,M,mexico,1973.0,37.0
1166,1973.03.00,Unprovoked,south africa,KwaZulu-Natal,Scottburgh,Unspecified,Unknown,,Unknown,M,south africa,1973.0,26.0
1167,1972.12.26,Unprovoked,mozambique,Gaza,Xai Xai,Unspecified,Unknown,,Unknown,M,mozambique,1972.0,25.0
1168,1972.06.10,Unprovoked,usa,Florida,"Cocoa Beach, Brevard County",Unspecified,Unknown,,Unknown,M,usa,1972.0,22.0
1169,1972.05.28,Unprovoked,usa,California,"Bird Rock, near Tomales Point, Marin County",White Shark,Unknown,,Unknown,M,usa,1972.0,32.0
1170,1972.02.20,Unprovoked,australia,Victoria,"Wilson's Promontory, Waratah Bay",Unspecified,Unknown,,Unknown,M,australia,1972.0,18.0
1171,1972.01.01.b,Unprovoked,south africa,KwaZulu-Natal,Kosi Bay,Unspecified,Unknown,,Unknown,F,south africa,1972.0,30.0
1172,1972.01.01.a,Unprovoked,mozambique,Gaza,Xai Xai,White Shark,Unknown,,Unknown,M,mozambique,1972.0,24.0
1173,1971.12.16,Unprovoked,south africa,Western Cape Province,"Fish Hoek, False Bay",White Shark,Unknown,,Unknown,F,south africa,1971.0,16.0
1174,1971.10.23,Unprovoked,usa,Florida,"Ft. Pierce, St Lucie County",Unspecified,Unknown,,Unknown,M,usa,1971.0,18.0
1175,1971.10.14,Unprovoked,south africa,KwaZulu-Natal,"North Beach, Durban",Unspecified,Unknown,,Unknown,M,south africa,1971.0,25.0
1176,1971.10.02,Unprovoked,usa,California,"Sea Ranch, Sonoma County",White Shark,Unknown,,Unknown,M,usa,1971.0,30.0
1177,1971.09.07,Unprovoked,croatia,Istria County,Ika,White Shark,Unknown,,Unknown,M,croatia,1971.0,34.0
1178,1971.08.21,Provoked,australia,New South Wales,"Manly Marineland, Sydney",Grey Shark,Unknown,,Unknown,M,australia,1971.0,26.0
1179,1971.06.30,Unprovoked,south africa,Western Cape Province,Mossel Bay,White Shark,Unknown,,Unknown,M,south africa,1971.0,21.0
1180,1971.04.11,Unprovoked,south africa,Western Cape Province,Buffels Bay,White Shark,Unknown,,Unknown,M,south africa,1971.0,50.0
1181,1971.03.30,Unprovoked,new zealand,South Island,Dunedin,White Shark,Unknown,,Unknown,M,new zealand,1971.0,16.0
1182,1970.09.28,Unprovoked,micronesia,Eastern Caroline Islands,Truk Lagoon,Unspecified,Unknown,,Unknown,M,micronesia,1970.0,43.0
1183,1970.06.15,Provoked,south africa,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Unspecified,Unknown,,Unknown,M,south africa,1970.0,25.0
1184,1969.09.06,Unprovoked,usa,California,"Bird Rock, Tomales Point, near Marin County / Sonoma County border",White Shark,Unknown,,Unknown,M,usa,1969.0,53.0
1185,1969.08.01,Unprovoked,usa,Florida,"St. Petersburg, Pinnellas County",Unspecified,Unknown,,Unknown,M,usa,1969.0,13.0
1186,1969.05.24,Provoked,usa,Florida,Sarasota County,Unspecified,Unknown,,Unknown,M,usa,1969.0,23.0
1187,1969.03.09,Unprovoked,usa,Hawaii,"Makaha, O'ahu",White Shark,Unknown,,Unknown,M,usa,1969.0,16.0
1188,1969.02.17.R,Provoked,australia,Tasmania,Taroona,Unspecified,Unknown,,Unknown,M,australia,1969.0,49.0
1189,1968.12.26,Provoked,australia,New South Wales,"Marineland Aquarium, Manley, Sydney",Grey Shark,Unknown,,Unknown,M,australia,1968.0,27.0
