,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5675,1957.12.20,Unprovoked,Unknown,,,Unspecified,20-Dec-1957,Dec,Y,M,,1991.5833443275412,25.0
5676,1957.12.18,Unprovoked,Unknown,,,Unspecified,18-Dec-1957,Dec,N,M,,1991.5833443275412,25.0
5677,1957.11.08,Unprovoked,Unknown,,,Unspecified,08-Nov-1957,Nov,N,M,,1991.5833443275412,25.0
5678,1957.11.04.R,Unprovoked,Unknown,,,Unspecified,Reported 04-Nov-1957,Nov,N,F,,1991.5833443275412,25.0
5679,1957.10.24,Unprovoked,Unknown,,,Unspecified,24-Oct-1957,Oct,Y,F,,1991.5833443275412,25.0
5680,1957.10.23,Unprovoked,Unknown,,,Unspecified,23-Oct-1957,Oct,Y,M,,1991.5833443275412,25.0
5681,1957.09.02,Unprovoked,Unknown,,,Unspecified,02-Sep-1957,Sep,N,M,,1991.5833443275412,25.0
5682,1957.08.00,Unprovoked,Unknown,,,Unspecified,Aug-1957,,N,F,,1991.5833443275412,25.0
5683,1957.07.24,Unprovoked,Unknown,,,Unspecified,24-Jul-1957,Jul,N,M,,1991.5833443275412,25.0
5684,1957.07.15,Unprovoked,Unknown,,,Unspecified,15-Jul-1957,Jul,Y,F,,1991.5833443275412,25.0
5685,1957.07.09,Unprovoked,Unknown,,,Unspecified,09-Jul-1957,Jul,N,F,,1991.5833443275412,25.0
5686,1957.06.21,Unprovoked,Unknown,,,Unspecified,21-Jun-1957,Jun,Unknown,F,,1991.5833443275412,25.0
5687,1957.05.11,Unprovoked,Unknown,,,Unspecified,11-May-1957,May,N,F,,1991.5833443275412,25.0
5688,1957.05.07,Unprovoked,Unknown,,,Unspecified,Reported 07-May-1957,May,N,F,,1991.5833443275412,25.0
5689,1957.05.00,Unprovoked,Unknown,,,Unspecified,May 1957,,N,M,,1991.5833443275412,25.0
5690,1957.04.28,Unprovoked,Unknown,,,Unspecified,28-Apr-1957,Apr,Y,M,,1991.5833443275412,25.0
5691,1957.04.23,Unprovoked,Unknown,,,Unspecified,23-Apr-1957,Apr,N,M,,1991.5833443275412,25.0
5692,1957.04.22,Unprovoked,Unknown,,,Unspecified,22-Apr-1957,Apr,N,F,,1991.5833443275412,25.0
5693,1957.04.13,Unprovoked,Unknown,,,Unspecified,13-Apr-1957,Apr,N,M,,1991.5833443275412,25.0
5694,1957.04.07.b,Unprovoked,Unknown,,,Unspecified,07-Apr-1957,Apr,N,M,,1991.5833443275412,25.0
5695,1957.04.07.a,Unprovoked,Unknown,,,Unspecified,07-Apr-1957,Apr,N,M,,1991.5833443275412,25.0
5696,1957.02.24,Unprovoked,Unknown,,,Unspecified,24-Feb-1957,Feb,N,M,,1991.5833443275412,25.0
5697,1957.02.05,Unprovoked,Unknown,,,Unspecified,05-Feb-1957,Feb,N,F,,1991.5833443275412,25.0
5698,1957.02.02,Unprovoked,Unknown,,,Unspecified,02-Feb-1957,Feb,Unknown,M,,1991.5833443275412,25.0
5699,1957.02.00,Unprovoked,Unknown,,,Unspecified,Feb-1957,,N,F,,1991.5833443275412,25.0
5700,1957.01.05,Unprovoked,Unknown,,,Unspecified,05-Jan-1957,Jan,Y,M,,1991.5833443275412,25.0
5701,1957.00.00.k,Unprovoked,Unknown,,,Unspecified,1957,,Unknown,F,,1991.5833443275412,25.0
5702,1957.00.00.j,Unprovoked,Unknown,,,Unspecified,1957,,N,F,,1991.5833443275412,25.0
5703,1957.00.00.i,Unprovoked,Unknown,,,Unspecified,1957,,Unknown,F,,1991.5833443275412,25.0
5704,1957.00.00.h,Unprovoked,Unknown,,,Unspecified,1957,,N,M,,1991.5833443275412,25.0
5705,1957.00.00.g,Unprovoked,Unknown,,,Unspecified,1957,,Y,F,,1991.5833443275412,25.0
5706,1957.00.00.f,Unprovoked,Unknown,,,Unspecified,1957,,N,F,,1991.5833443275412,25.0
5707,1957.00.00.e,Unprovoked,Unknown,,,Unspecified,1957,,N,M,,1991.5833443275412,25.0
5708,1957.00.00.d,Unprovoked,Unknown,,,Unspecified,1957,,N,M,,1991.5833443275412,25.0
5709,1957.00.00.b,Unprovoked,Unknown,,,Unspecified,1957,,Y,F,,1991.5833443275412,25.0
5710,1957.00.00.c,Unprovoked,Unknown,,,Unspecified,1957,,N,M,,1991.5833443275412,25.0
5711,1957.00.00.a,Unprovoked,Unknown,,,Unspecified,1957,,Y,M,,1991.5833443275412,25.0
5712,1956.12.26,Unprovoked,Unknown,,,Unspecified,26-Dec-1956,Dec,Y,M,,1991.5833443275412,25.0
5713,1956.12.24,Unprovoked,Unknown,,,Unspecified,24-Dec-1956,Dec,Y,M,,1991.5833443275412,25.0
5714,1956.12.15.R,Unprovoked,Unknown,,,Unspecified,Reported 15-Dec-1956,Dec,Y,F,,1991.5833443275412,25.0
5715,1956.12.09,Unprovoked,Unknown,,,Unspecified,09-Dec-1956,Dec,N,F,,1991.5833443275412,25.0
5716,1956.10.27,Unprovoked,Unknown,,,Unspecified,27-Oct-1956,Oct,N,M,,1991.5833443275412,25.0
5717,1956.10.20,Unprovoked,Unknown,,,Unspecified,20-Oct-1956,Oct,N,F,,1991.5833443275412,25.0
5718,1956.10.07,Unprovoked,Unknown,,,Unspecified,07-Oct-1956,Oct,N,M,,1991.5833443275412,25.0
5719,1956.10.00,Unprovoked,Unknown,,,Unspecified,Oct-1956,,Y,M,,1991.5833443275412,25.0
5720,1956.09.23,Unprovoked,Unknown,,,Unspecified,23-Sep-1956,Sep,N,F,,1991.5833443275412,25.0
